CVE,Uptime,Updated
CVE-2023-40336,2024-06-05T00:00:00,yes
CVE-2023-40305,2023-12-05T00:00:00,yes
CVE-2023-40283,2023-12-15T00:00:00,yes
CVE-2023-40267,2023-10-20T00:00:00,yes
CVE-2023-40225,2023-09-28T00:00:00,yes
CVE-2023-40217,2023-12-22T00:00:00,yes
CVE-2023-40184,2023-12-15T00:00:00,yes
CVE-2023-4018,2024-05-17T00:00:00,yes
CVE-2023-40175,2023-10-05T00:00:00,yes
CVE-2023-4016,2023-12-21T00:00:00,yes
CVE-2023-4015,2023-12-13T00:00:00,yes
CVE-2023-4012,2023-08-16T00:00:00,yes
CVE-2023-4011,2024-05-17T00:00:00,yes
CVE-2023-4008,2024-05-17T00:00:00,yes
CVE-2023-40061,2023-12-29T00:00:00,yes
CVE-2023-40060,2023-12-08T00:00:00,yes
CVE-2023-40056,2024-02-08T00:00:00,yes
CVE-2023-40053,2024-04-19T00:00:00,yes
CVE-2023-40047,2023-10-06T00:00:00,yes
CVE-2023-40043,2023-11-30T00:00:00,yes
CVE-2023-4004,2023-11-01T00:00:00,yes
CVE-2023-40031,2023-09-27T00:00:00,yes
CVE-2023-40030,2023-09-22T00:00:00,yes
CVE-2023-4002,2024-05-17T00:00:00,yes
CVE-2023-39999,2024-05-31T00:00:00,yes
CVE-2023-39978,2023-09-08T00:00:00,yes
CVE-2023-39976,2024-04-28T00:00:00,yes
CVE-2023-39975,2024-07-12T00:00:00,yes
CVE-2023-39968,2023-11-07T00:00:00,yes
CVE-2023-3994,2024-05-17T00:00:00,yes
CVE-2023-3993,2024-05-17T00:00:00,yes
CVE-2023-39928,2023-12-28T00:00:00,yes
CVE-2023-39916,2023-09-27T00:00:00,yes
CVE-2023-39912,2023-12-05T00:00:00,yes
CVE-2023-39804,2023-12-11T00:00:00,yes
CVE-2023-3979,2024-05-17T00:00:00,yes
CVE-2023-3978,2023-11-07T00:00:00,yes
CVE-2023-39742,2023-11-07T00:00:00,yes
CVE-2023-3972,2023-12-22T00:00:00,yes
CVE-2023-3971,2024-06-03T00:00:00,yes
CVE-2023-3964,2024-05-17T00:00:00,yes
CVE-2023-39615,2023-12-14T00:00:00,yes
CVE-2023-3961,2023-12-20T00:00:00,yes
CVE-2023-39542,2023-12-04T00:00:00,yes
CVE-2023-39534,2023-08-23T00:00:00,yes
CVE-2023-3949,2024-05-17T00:00:00,yes
CVE-2023-39456,2024-02-09T00:00:00,yes
CVE-2023-39447,2024-05-10T00:00:00,yes
CVE-2023-39440,2023-08-14T00:00:00,yes
CVE-2023-39418,2023-11-16T00:00:00,yes
CVE-2023-39417,2024-02-16T00:00:00,yes
CVE-2023-39362,2023-10-25T00:00:00,yes
CVE-2023-39357,2023-11-09T00:00:00,yes
CVE-2023-39350,2023-12-19T00:00:00,yes
CVE-2023-39340,2024-04-19T00:00:00,yes
CVE-2023-39335,2023-12-21T00:00:00,yes
CVE-2023-39326,2023-12-21T00:00:00,yes
CVE-2023-39325,2024-02-09T00:00:00,yes
CVE-2023-39323,2024-02-09T00:00:00,yes
CVE-2023-39320,2023-12-08T00:00:00,yes
CVE-2023-39318,2024-02-09T00:00:00,yes
CVE-2023-39301,2023-11-15T00:00:00,yes
CVE-2023-39256,2023-12-11T00:00:00,yes
CVE-2023-39251,2024-01-05T00:00:00,yes
CVE-2023-3922,2024-05-17T00:00:00,yes
CVE-2023-39218,2023-11-03T00:00:00,yes
CVE-2023-39216,2023-11-03T00:00:00,yes
CVE-2023-39215,2023-11-03T00:00:00,yes
CVE-2023-39213,2023-11-03T00:00:00,yes
CVE-2023-39211,2023-11-03T00:00:00,yes
