0,1,2
,,186415.0
,,186414.0
,,186413.0
,,186412.0
,,186411.0
,,186410.0
,,186409.0
,,186408.0
,,186407.0
,,186406.0
,,186405.0
,,186404.0
,,186403.0
,,186402.0
,,186401.0
,,186400.0
,,186399.0
,,186398.0
,,186397.0
,,186396.0
,,186395.0
,,186394.0
,,186393.0
,,186392.0
,,186391.0
,,186390.0
,,186389.0
,,186388.0
,,186387.0
,,186386.0
,,186385.0
,,186384.0
,,186383.0
,,186382.0
,,186381.0
,,186380.0
,,186379.0
,,186378.0
,,186377.0
,,186376.0
,,186375.0
,,186374.0
,,186373.0
,,186372.0
,,186371.0
,,186370.0
,,186369.0
,,186368.0
,,186367.0
,,186366.0
,,186365.0
,,186364.0
,,186363.0
,,186362.0
,,186361.0
,,186360.0
,,186359.0
,,186358.0
,,186357.0
,,186356.0
,,186355.0
,,186354.0
,,186353.0
,,186352.0
,,186351.0
,,186350.0
,,186349.0
,,186348.0
,,186347.0
